seller_id,total_orders,total_items,total_revenue,total_freight,freight_ratio,delivery_orders,late_orders,avg_delivery_delay_days,late_delivery_rate,reviewed_orders,avg_review_score,negative_reviews,negative_review_rate,reliable_review_volume,seller_segment
0015a82c2db000af6aaaf3ae2ecb0532,3,3,2685.0,63.06,0.023486033519553074,3.0,0.0,-15.593379629629629,0.0,3.0,3.6666666666666665,1.0,33.33333333333333,False,Insufficient Review Volume
001cca7ae9ae17fb1caed9dfb1094831,200,239,25080.03,8854.14,0.35303546287624055,195.0,13.0,-12.225614078822412,6.666666666666667,197.0,3.984771573604061,32.0,16.243654822335024,True,High Revenue + Lower Experience
001e6ad469a905060d959994f1b41e4f,1,1,250.0,17.94,0.07176,,,,,1.0,1.0,1.0,100.0,False,Insufficient Review Volume
002100f778ceb8431b7a1020ff7ab48f,51,55,1234.5,793.66,0.6428999594977723,50.0,9.0,-7.389838425925927,18.0,51.0,3.9038461538461537,8.0,15.686274509803921,True,High Revenue + Lower Experience
003554e2dce176b5555353e4f3555ac8,1,1,120.0,19.38,0.1615,1.0,0.0,-26.06679398148148,0.0,1.0,5.0,0.0,0.0,False,Insufficient Review Volume
004c9cd9d87a3c30c522c48c4fc07416,158,170,19712.71,3551.23,0.1801492539584867,156.0,13.0,-11.063156531932574,8.333333333333332,155.0,4.136645962732919,22.0,14.193548387096774,True,High Revenue + Lower Experience
00720abe85ba0859807595bbf045a33b,13,26,1007.5,315.98,0.31362779156327547,13.0,2.0,-7.076196581196582,15.384615384615385,13.0,3.6153846153846154,3.0,23.076923076923077,False,Insufficient Review Volume
00ab3eff1b5192e5f1a63bcecfee11c8,1,1,98.0,12.08,0.12326530612244899,1.0,0.0,-9.461099537037038,0.0,1.0,5.0,0.0,0.0,False,Insufficient Review Volume
00d8b143d12632bad99c0ad66ad52825,1,1,86.0,51.1,0.5941860465116279,1.0,0.0,-21.296087962962964,0.0,1.0,5.0,0.0,0.0,False,Insufficient Review Volume
00ee68308b45bc5e2660cd833c3f81cc,135,172,20260.0,3180.66,0.15699210266535044,135.0,12.0,-10.066531121399178,8.88888888888889,134.0,4.303703703703704,15.0,11.194029850746269,True,High Revenue + High Experience
00fc707aaaad2d31347cf883cd2dfe10,103,135,12684.9,2285.09,0.18014253167151498,103.0,5.0,-14.833631000539373,4.854368932038835,102.0,4.047169811320755,17.0,16.666666666666664,True,High Revenue + Lower Experience
010543a62bd80aa422851e79a3bc7540,2,2,1416.0,31.950000000000003,0.0225635593220339,2.0,0.0,-7.753888888888889,0.0,2.0,4.5,0.0,0.0,False,Insufficient Review Volume
010da0602d7774602cd1b3f5fb7b709e,1,5,849.5,230.25,0.27104178928781636,1.0,0.0,-9.109456018518518,0.0,1.0,1.0,1.0,100.0,False,Insufficient Review Volume
011b0eaba87386a2ae96a7d32bb531d1,1,2,99.98,29.18,0.29185837167433487,1.0,0.0,-29.522291666666668,0.0,1.0,4.0,0.0,0.0,False,Insufficient Review Volume
01266d4c46afa519678d16a8b683d325,3,3,90.25,47.230000000000004,0.5233240997229918,3.0,0.0,-8.601331018518518,0.0,3.0,5.0,0.0,0.0,False,Insufficient Review Volume
013900e863eace745d3ec7614cab5b1a,23,26,1619.7,469.67,0.2899734518738038,23.0,0.0,-14.726748691626408,0.0,23.0,4.695652173913044,1.0,4.3478260869565215,False,Insufficient Review Volume
014c0679dd340a0e338872e7ec85666a,14,15,7058.0,628.3100000000001,0.0890209691130632,14.0,2.0,-10.454716435185185,14.285714285714285,14.0,3.857142857142857,2.0,14.285714285714285,False,Insufficient Review Volume
014d9a685fd57276679edd00e07089e5,11,12,729.88,146.93,0.20130706417493288,11.0,0.0,-12.253013468013467,0.0,11.0,3.727272727272727,2.0,18.181818181818183,False,Insufficient Review Volume
0176f73cc1195f367f7b32db1e5b3aa8,38,39,4733.1,1287.01,0.27191692548224206,37.0,4.0,-8.273140015015015,10.81081081081081,38.0,4.078947368421052,6.0,15.789473684210526,True,High Revenue + Lower Experience
01bcc9d254a0143f0ce9791b960b2a47,11,11,1521.21,277.65999999999997,0.1825257525259497,10.0,0.0,-17.622724537037037,0.0,10.0,4.4,0.0,0.0,False,Insufficient Review Volume
01c97ebb5cdac52891c0ed1c37ba0012,9,12,577.5,178.5,0.3090909090909091,9.0,0.0,-7.471925154320989,0.0,9.0,4.222222222222222,1.0,11.11111111111111,False,Insufficient Review Volume
01cf7e3d21494c41fb86034f2e714fa1,61,67,9729.36,2008.82,0.20646990141180918,59.0,3.0,-14.493196406151915,5.084745762711865,60.0,4.15,7.0,11.666666666666666,True,High Revenue + Lower Experience
01ed254b9ff8407dfb9d99ba1e17d923,5,5,1465.99,67.72,0.046194039522779826,5.0,0.0,-16.234027777777776,0.0,5.0,5.0,0.0,0.0,False,Insufficient Review Volume
01fd077212124329bac32490e8ef80d9,31,39,1208.0,575.36,0.4762913907284768,31.0,1.0,-10.51898222819594,3.225806451612903,31.0,4.161290322580645,5.0,16.129032258064516,True,High Revenue + High Experience
01fdefa7697d26ad920e9e0346d4bd1b,129,131,14921.43,2768.64,0.1855478998996745,128.0,8.0,-13.005218460648148,6.25,128.0,4.3515625,8.0,6.25,True,High Revenue + High Experience
0241d4d5d36f10f80c644447315af0bd,238,246,31397.7,6853.91,0.2182933781773824,238.0,14.0,-12.289720374260815,5.88235294117647,237.0,4.334728033472803,26.0,10.970464135021098,True,High Revenue + High Experience
0249d282d911d23cb8b869ab49c99f53,11,11,393.0,138.88,0.35338422391857505,11.0,2.0,-7.532287457912459,18.181818181818183,11.0,4.2727272727272725,2.0,18.181818181818183,False,Insufficient Review Volume
024b564ae893ce8e9bfa02c10a401ece,2,8,706.4000000000001,212.0,0.3001132502831257,2.0,0.0,-36.505017361111115,0.0,2.0,4.5,0.0,0.0,False,Insufficient Review Volume
028872bfa080090a9d0abd4f1af168f8,1,3,70.5,47.37,0.6719148936170213,1.0,0.0,-14.136261574074075,0.0,1.0,5.0,0.0,0.0,False,Insufficient Review Volume
02a2272692e13558373c66db98f05e2e,2,2,54.98,38.870000000000005,0.706984357948345,,,,,2.0,3.0,1.0,50.0,False,Insufficient Review Volume
02b72cdeb9cfcc429f1af6f4e3f3b737,4,4,522.65,225.99,0.43239261456041334,4.0,0.0,-8.285228587962962,0.0,4.0,4.75,0.0,0.0,False,Insufficient Review Volume
